dept_id|deptName|college
03030200|EM-ENROLLMENT AND DEGREES|SENIOR VP-PROVOST
03030300|EM-RECORDS PUBLICATIONS|SENIOR VP-PROVOST
03040000|EM-DATA PROCESSING|SENIOR VP-PROVOST
04000000|OFFICE OF STUDENT AFFAIRS|VP-STUDENT AFFAIRS
04010000|SA-STUDENT AFFAIRS|VP-STUDENT AFFAIRS
04010100|SA-DEVELOPMENT OFFICE|VP-STUDENT AFFAIRS
04010200|SA-PROG-MULTICULTURAL SERIES|VP-STUDENT AFFAIRS
04010210|SA-INSTITUTE OF BLACK CULTURAL|VP-STUDENT AFFAIRS
04010211|SA-INSTITUTE OF HISPANIC-LATIN|VP-STUDENT AFFAIRS
04010212|SA-MULTICULTURAL AND DIVERSITY|VP-STUDENT AFFAIRS
04010213|SA-LESBIAN GAY BISEXUAL TRANSG|VP-STUDENT AFFAIRS
04010214|SA-ASIAN PACIFIC ASSOCIATION|VP-STUDENT AFFAIRS
04010215|SA-OFF CAMPUS LIFE|VP-STUDENT AFFAIRS
04010216|SA-GATORSHIP|VP-STUDENT AFFAIRS
04010217|SA-CTR FOR LEADERSHIP AND SVC|VP-STUDENT AFFAIRS
04010300|SA-HEALTH FEE RESERVE|VP-STUDENT AFFAIRS
04010400|SA-ACTIVITY/SERVICE FEE RESERV|VP-STUDENT AFFAIRS
04010500|SA-VP TRAVEL|VP-STUDENT AFFAIRS
04010600|SA-STUDENT HEALTH INSURANCE|VP-STUDENT AFFAIRS
04020000|SA-RECREATIONAL SPORTS|VP-STUDENT AFFAIRS
04020100|SA-RECSPTS ADMIN|VP-STUDENT AFFAIRS
04020101|SA-RECSPTS MANAGEMENT|VP-STUDENT AFFAIRS
04020102|SA-RECSPTS MARKETING|VP-STUDENT AFFAIRS
04020200|SA-RECSPTS FACILITIES|VP-STUDENT AFFAIRS
04020201|SA-RECSPTS FACIL SUPERVISION|VP-STUDENT AFFAIRS
04020202|SA-RECSPTS FACIL-LK WAUBURG|VP-STUDENT AFFAIRS
04020203|SA-RECSPTS FACIL-AQUATICS|VP-STUDENT AFFAIRS
04020204|SA-RECSPTS FACIL-MAINT SERVS|VP-STUDENT AFFAIRS
04020300|SA-RECSPTS PROGRAMS|VP-STUDENT AFFAIRS
04020301|SA-RECSPTS PGMS-INTRAMURAL|VP-STUDENT AFFAIRS
04020302|SA-RECSPTS PGMS-SPORT CLUBS|VP-STUDENT AFFAIRS
04020303|SA-RECSPTS PGMS-FIT/WELLNESS|VP-STUDENT AFFAIRS
04030000|SA-COUNSELING CENTER|VP-STUDENT AFFAIRS
04030100|SA-COUNSELING & WELLNESS CTR|VP-STUDENT AFFAIRS
04030200|SA-GATORWELL|VP-STUDENT AFFAIRS
04040000|SA-CAREER RESOURCE CENTER|VP-STUDENT AFFAIRS
04040100|SA-CRC-DIRECTOR|VP-STUDENT AFFAIRS
04040200|SA-CRC-INFORMATION SYSTEMS|VP-STUDENT AFFAIRS
04040300|SA-CAREER DEVELOPMENT|VP-STUDENT AFFAIRS
04040301|SA-CAREER DEVELOPMENT-GEN|VP-STUDENT AFFAIRS
04040302|SA-CRC-LIBRARY|VP-STUDENT AFFAIRS
04040303|SA-GATOR LAUNCH DIVERSITY|VP-STUDENT AFFAIRS
04040304|SA-CREDENTIALS|VP-STUDENT AFFAIRS
04040400|SA-CAREER NETWORKS|VP-STUDENT AFFAIRS
04040401|SA-CAREER NETWORKS-GENERAL|VP-STUDENT AFFAIRS
04040402|SA-EXPERIENTIAL EDUCATION|VP-STUDENT AFFAIRS
04040403|SA-CAREER EVENTS|VP-STUDENT AFFAIRS
04040404|SA-S.M.I.L.E.S. PROGRAM|VP-STUDENT AFFAIRS
04040405|SA-CRC WORKSHOP PROGRAMS|VP-STUDENT AFFAIRS
04040500|SA-OPERATIONS SUPPORT|VP-STUDENT AFFAIRS
04040501|SA-OPERATIONS SUPPORT-GEN|VP-STUDENT AFFAIRS
04040502|SA-PUBLIC RELATIONS|VP-STUDENT AFFAIRS
04040503|SA-FACILITIES MANAGEMENT|VP-STUDENT AFFAIRS
04040504|SA-PERSONNEL ADMINISTRATION|VP-STUDENT AFFAIRS
04050000|SA-DEAN OF STUDENTS|VP-STUDENT AFFAIRS
04050100|SA-ADMINISTRATION|VP-STUDENT AFFAIRS
04050200|SA-CAMPUS DIPLOMATS|VP-STUDENT AFFAIRS
04050300|SA-DISABILITY RESOURCES|VP-STUDENT AFFAIRS
04050400|SA-IBC|VP-STUDENT AFFAIRS
04050500|SA-IHLC|VP-STUDENT AFFAIRS
04050600|SA-GREEK LIFE|VP-STUDENT AFFAIRS
04050700|SA-JUDICIAL AFFAIRS|VP-STUDENT AFFAIRS
04050800|SA-MULTICULTURAL AFFAIRS|VP-STUDENT AFFAIRS
04050900|SA-NEW STUDENT PROGRAMS|VP-STUDENT AFFAIRS
04051000|SA-OFF CAMPUS LIFE|VP-STUDENT AFFAIRS
04060000|SA-COLLEGIATE LIVING ORG|VP-STUDENT AFFAIRS
04070000|SA-STU DEVLP/EXTERNAL AFFAIRS|VP-STUDENT AFFAIRS
04080000|SA-STUDENT ACT & INVOLVE|VP-STUDENT AFFAIRS
04080100|SA-SAI-ADMIN|VP-STUDENT AFFAIRS
04080200|SA-SAI-GREEK LIFE|VP-STUDENT AFFAIRS
04080300|SA-SAI-OUTFITTER|VP-STUDENT AFFAIRS
04080400|SA-SAI-TRIP|VP-STUDENT AFFAIRS
05000000|J WAYNE REITZ UNION|VP-STUDENT AFFAIRS
05010000|RU-GAME ROOM ADMINISTRATION|VP-STUDENT AFFAIRS
05020000|RU-BOWLING|VP-STUDENT AFFAIRS
05030000|RU-BILLIARDS|VP-STUDENT AFFAIRS
05040000|RU-MISCELLANEOUS GAMES|VP-STUDENT AFFAIRS
05050000|RU-GAMES PROGRAMMING|VP-STUDENT AFFAIRS
05060000|RU-GAMES MERCHANDISE SALES|VP-STUDENT AFFAIRS
05070000|RU-OUTFITTER|VP-STUDENT AFFAIRS
05080000|RU-TRIP|VP-STUDENT AFFAIRS
05090000|RU-PROGRAMS ADMINSTRATION|VP-STUDENT AFFAIRS
05100000|RU-GATOR NIGHTS|VP-STUDENT AFFAIRS
05110000|RU-ARTS / CRAFTS CENTER|VP-STUDENT AFFAIRS
05110100|RU-THE GALLERY|VP-STUDENT AFFAIRS
05110200|RU-LEISURE COURSES|VP-STUDENT AFFAIRS
05110300|RU-THE STUDIO|VP-STUDENT AFFAIRS
05120000|RU-OFFICE-STUDENT ACTIVITIES|VP-STUDENT AFFAIRS
05130000|RU-COPC|VP-STUDENT AFFAIRS
05140000|RU-OFFICE OF COMMUNITY SERVICE|VP-STUDENT AFFAIRS
05150000|RU-FLORIDA ALTERNATIVE BREAK|VP-STUDENT AFFAIRS
05160000|RU-BUSINESS OFFICE|VP-STUDENT AFFAIRS
05170000|RU-NASPA|VP-STUDENT AFFAIRS
05180000|RU-NETWORK SERVICES|VP-STUDENT AFFAIRS
05190000|RU-JWRU HOTEL|VP-STUDENT AFFAIRS
05200000|RU-BOX OFFICE ADMINISTRATION|VP-STUDENT AFFAIRS
05210000|RU-OVERHEAD|VP-STUDENT AFFAIRS
05220000|RU-LEADERSHAPE|VP-STUDENT AFFAIRS
05230000|RU-MARKETING / RETAIL ADMIN|VP-STUDENT AFFAIRS
05240000|RU-CONCESSIONS|VP-STUDENT AFFAIRS
05250000|RU-GENERAL ADMINISTRATION|VP-STUDENT AFFAIRS
05260000|RU-NIGHT / WEEKEND MANAGEMENT|VP-STUDENT AFFAIRS
05270000|RU-INFORMATION DESK|VP-STUDENT AFFAIRS
05280000|RU-HOUSEKEEPING|VP-STUDENT AFFAIRS
05290000|RU-SPECIAL SERVICES|VP-STUDENT AFFAIRS
05300000|RU-EVENT SERVICES|VP-STUDENT AFFAIRS
05310000|RU-PRODUCTIONS|VP-STUDENT AFFAIRS
05320000|RU-MAINTENANCE|VP-STUDENT AFFAIRS
05330000|RU-MAINTENANCE ADMINISTRATION|VP-STUDENT AFFAIRS
05340000|RU-GATOR GROWL/HOMECOMING|VP-STUDENT AFFAIRS
05340100|RU-GATOR GROWL/HOMECOMING A|VP-STUDENT AFFAIRS
05340200|RU-GATOR GROWL/HOMECOMING B|VP-STUDENT AFFAIRS
05350000|RU-WELCOME CENTER|VP-STUDENT AFFAIRS
05360000|RU-CAMPUS COPY FAX AND PACK|VP-STUDENT AFFAIRS
05370000|RU-AV SERVICES|VP-STUDENT AFFAIRS
05380000|RU-SETUPS|VP-STUDENT AFFAIRS
05400000|RU-EG-OSFA|VP-STUDENT AFFAIRS
05950000|RU-UBO OPERATIONS|VP-STUDENT AFFAIRS
05950100|RU-CPA SELF SPONSORED-A|VP-STUDENT AFFAIRS
05950200|RU-CPA RENTALS-A|VP-STUDENT AFFAIRS
05950300|RU-FLORIDA BLUE KEY|VP-STUDENT AFFAIRS
05950400|RU-PROGRAMS-ENTERTAINMENT|VP-STUDENT AFFAIRS
05950500|RU-CPA SELF SPONSORED-B|VP-STUDENT AFFAIRS
05950600|RU-CPA RENTAL-B|VP-STUDENT AFFAIRS
05950700|RU-TICKET MASTER|VP-STUDENT AFFAIRS
05950800|RU-THEATRE DEPARTMENT|VP-STUDENT AFFAIRS
05950900|RU-UNION MOVIES|VP-STUDENT AFFAIRS
05951000|RU-SALES TAX HOLDING|VP-STUDENT AFFAIRS
05951100|RU-HP CONSTANS FUND|VP-STUDENT AFFAIRS
05951200|RU-OCONNEL CENTER|VP-STUDENT AFFAIRS
05951300|RU-OCONNEL CENTER-RENTAL|VP-STUDENT AFFAIRS
05951400|RU-MISCELLANEOUS EVENTS|VP-STUDENT AFFAIRS
05951500|RU-HARD TICKETS|VP-STUDENT AFFAIRS
06000000|EM-STUDENT FINANCIAL AFFAIRS|VP-STUDENT AFFAIRS
06010000|EM-SFA ADMINISTRATION|VP-STUDENT AFFAIRS
06010001|EM-FED WORK STUDY SFA MATCHING|VP-STUDENT AFFAIRS
06020000|EM-SFA FINANCIAL AID AWARD|VP-STUDENT AFFAIRS
06030000|EM-FWS-COMMUNITY SERVICE|VP-STUDENT AFFAIRS
06030100|SF-COMM SERVICE-ALACHUA|VP-STUDENT AFFAIRS
06030101|SF-ALACHUA HABITAT HUMANITY|VP-STUDENT AFFAIRS
06030102|SF-UNITED WAY - ALACHUA COUNTY|VP-STUDENT AFFAIRS
06030103|SF-NCFL HLTH PLANNING COUNCIL|VP-STUDENT AFFAIRS
06030104|SF-BOYS / GIRLS CLUB|VP-STUDENT AFFAIRS
06030105|SF-NCFLORIDA YMCA|VP-STUDENT AFFAIRS
06030106|SF-ASSOC / RETARDED CITIZENS|VP-STUDENT AFFAIRS
06030107|SF-GIRLS CLUB - ALACHUA COUNTY|VP-STUDENT AFFAIRS
06030108|SF-MORNINGSIDE NATURE CENTER|VP-STUDENT AFFAIRS
06030109|SF-ACORN CLINIC|VP-STUDENT AFFAIRS
06030110|SF-VOLUNTEER CENTER|VP-STUDENT AFFAIRS
06030111|SF-NEIGHBORHOOD HOUSING SRVS|VP-STUDENT AFFAIRS
06030112|SF-REICKERT HOUSE|VP-STUDENT AFFAIRS
06030113|SF-GAINESVILLE REC / PARKS|VP-STUDENT AFFAIRS
06030114|SF-NATIONAL CTR - CONSTRUCT ED|VP-STUDENT AFFAIRS
06030115|SF-UNIVERSITY ATHLETIC ASSOC|VP-STUDENT AFFAIRS
06030116|SF-SHANDS HC- MEDICAL MGT|VP-STUDENT AFFAIRS
06030117|SF-FRIENDS - MICANOPY LIBRARY|VP-STUDENT AFFAIRS
06030118|SF-LIFESOUTH BLOOD CENTER|VP-STUDENT AFFAIRS
06030119|SF-CHILDRENS HOME SOCIETY|VP-STUDENT AFFAIRS
06030120|SF-SHANDS HC CORP COMPLIANCE|VP-STUDENT AFFAIRS
06030121|SF-SHANDS EASTSIDE COMM PRAC|VP-STUDENT AFFAIRS
06030122|SF-OAK HAMMOCK - UF|VP-STUDENT AFFAIRS
06030123|SF-SHANDS - AGH|VP-STUDENT AFFAIRS
06030124|SF-GAINESVILLE POLICE DEPT|VP-STUDENT AFFAIRS
06030125|SF-SHANDS HOSPITAL LEGAL SERVS|VP-STUDENT AFFAIRS
06030126|SF-CORNER DRUG STORE|VP-STUDENT AFFAIRS
06030127|SF-MATHESON HISTORICAL CENTER|VP-STUDENT AFFAIRS
06030128|SF-GAINESVILLE COMM MINISTRIES|VP-STUDENT AFFAIRS
06030129|SF-FOREST MANAGEMENT TRUST|VP-STUDENT AFFAIRS
06040000|EM-NRA SCHOLARSHIPS|VP-STUDENT AFFAIRS
07000000|DIVISION-HOUSING|VP-STUDENT AFFAIRS
07010000|HO-HOUSING-GENERAL|VP-STUDENT AFFAIRS
07020000|HO-DEPOSITS / MISC REVENUE|VP-STUDENT AFFAIRS
07020100|HO-SEC DEP-CORRY-UVS-DIAMOND|VP-STUDENT AFFAIRS
07020200|HO-SEC DEP-TANGLEWOOD|VP-STUDENT AFFAIRS
07020300|HO-SEC DEP-MAQUIRE|VP-STUDENT AFFAIRS
07020400|HO-UVM-VILLAGE HOUSING RENT|VP-STUDENT AFFAIRS
07020500|HO-UVM-UTILITY REVENUE|VP-STUDENT AFFAIRS
07020600|HO-UVM-MISCELLANEOUS REVENUE|VP-STUDENT AFFAIRS
07020700|HO-VILLAGE HOUSING APP FEE|VP-STUDENT AFFAIRS
07020800|HO-HOUSING UTILITY TAX|VP-STUDENT AFFAIRS
07021000|HO-SIGMA PHI EPSILON|VP-STUDENT AFFAIRS
07021100|HO-BETA THETA PI|VP-STUDENT AFFAIRS
07021200|HO-LAMBDA CHI ALPHA|VP-STUDENT AFFAIRS
07021300|HO-PI KAPPA ALPHA|VP-STUDENT AFFAIRS
07021400|HO-PI KAPPA PHI|VP-STUDENT AFFAIRS
07030000|HO-CONCESSION EXP / REV|VP-STUDENT AFFAIRS
07030100|HO-IRHA VENDING|VP-STUDENT AFFAIRS
07030200|HO-HOUSING VENDING|VP-STUDENT AFFAIRS
07030300|HO-TRAINING ACCOUNT|VP-STUDENT AFFAIRS
07030400|HO-RESIDENCE LIFE / EDUCATION|VP-STUDENT AFFAIRS
07030500|HO-VILLAGE HOUSING VENDING|VP-STUDENT AFFAIRS
07030600|HO-MAYOR'S COUNCIL VENDING|VP-STUDENT AFFAIRS
07030700|HO-EAST CAMPUS|VP-STUDENT AFFAIRS
07030800|HO-WEST CAMPUS|VP-STUDENT AFFAIRS
07030900|HO-STUDENT LEARNING VENDING|VP-STUDENT AFFAIRS
07040000|HO-HOUSING REVENUE|VP-STUDENT AFFAIRS
07040100|HO-FURNITURE SHOP REVENUE|VP-STUDENT AFFAIRS
07040200|HO-RENTAL PROBERTY HOUSING REV|VP-STUDENT AFFAIRS
07040300|HO-RENTAL PROPERTY MISC REV|VP-STUDENT AFFAIRS
07040400|HO-74 SERIES INVESTMENT-PURCH|VP-STUDENT AFFAIRS
07040500|HO-74 SERIES INVESTMT-EARNINGS|VP-STUDENT AFFAIRS
07040600|HO-59 SERIES INVESTMENT-PURCH|VP-STUDENT AFFAIRS
07040700|HO-59 SERIES INVESTMNT-EARNNGS|VP-STUDENT AFFAIRS
07040800|HO-GENERAL INCOME|VP-STUDENT AFFAIRS
07040900|HO-VILLAGE HOUSING RENT|VP-STUDENT AFFAIRS
07041000|HO-CONFERENCE HOUSING REVENUE|VP-STUDENT AFFAIRS
07041100|HO-MISCELLANEOUS REVENUE|VP-STUDENT AFFAIRS
07041200|HO-UTILITY REVENUE|VP-STUDENT AFFAIRS
07041300|HO-PRIOR STUDENT RECEIVABLES|VP-STUDENT AFFAIRS
07041400|HO-EX KWH CHARGES-FALL|VP-STUDENT AFFAIRS
07041500|HO-EX KWH CHARGES-SPRING|VP-STUDENT AFFAIRS
07041600|HO-EX KWH CHARGES-SUMMER A|VP-STUDENT AFFAIRS
07041700|HO-EX KWH CHARGES-SUMMER B|VP-STUDENT AFFAIRS
07041800|HO-HOUSING APPLICATIONS FEES|VP-STUDENT AFFAIRS
07041900|HO-DIAMOND RENT|VP-STUDENT AFFAIRS
07042000|HO-RESIDENCE HALL RENT-FALL|VP-STUDENT AFFAIRS
07042100|HO-RESIDENCE HALL RENT-SPRING|VP-STUDENT AFFAIRS
07042200|HO-RESIDENCE HALL RENT-SUM A|VP-STUDENT AFFAIRS
07042300|HO-RESIDENCE HALL RENT-SUM B|VP-STUDENT AFFAIRS
07042400|HO-74 SERS IMPRO / REPLA ACCT|VP-STUDENT AFFAIRS
07042500|HO-TANGLEWOOD APTS RENT|VP-STUDENT AFFAIRS
07050000|HO-RES HALL RENT COLLECTIONS|VP-STUDENT AFFAIRS
07050100|HO-RH RENT COLL-FALL-YR 1|VP-STUDENT AFFAIRS
07050200|HO-RH RENT COLL-SPRING-YR 1|VP-STUDENT AFFAIRS
07050300|HO-RH RENT COLL-SUM A-YR 1|VP-STUDENT AFFAIRS
07050400|HO-RH RENT COLL-SUM B-YR 1|VP-STUDENT AFFAIRS
07050500|HO-RH RENT COLL-FALL-YR 2|VP-STUDENT AFFAIRS
07050600|HO-RH RENT COLL-SPRING-YR 2|VP-STUDENT AFFAIRS
07050700|HO-RH RENT COLL-SUM A-YR 2|VP-STUDENT AFFAIRS
07050800|HO-RH RENT COLL-SUM B-YR 2|VP-STUDENT AFFAIRS
07050900|HO-RH RENT COLL-FALL-YR 3|VP-STUDENT AFFAIRS
07051000|HO-RH RENT COLL-SPRING-YR 3|VP-STUDENT AFFAIRS
07051100|HO-RH RENT COLL-SUM A-YR 3|VP-STUDENT AFFAIRS
07051200|HO-RH RENT COLL-SUM B-YR 3|VP-STUDENT AFFAIRS
07051300|HO-RH RENT COLL-SUM C-YR 1|VP-STUDENT AFFAIRS
07051400|HO-RH RENT COLL-SUM C-YR 2|VP-STUDENT AFFAIRS
07051500|HO-RH RENT COLL-SUM C-YR 3|VP-STUDENT AFFAIRS
07051600|HO-YOUTH CONF SERVICES REV|VP-STUDENT AFFAIRS
07070000|HO-INT / SINK-REPAIR / REPLACE|VP-STUDENT AFFAIRS
07070100|HO-59 HOUSING SYSTEM I/S|VP-STUDENT AFFAIRS
07070200|HO-59-I/S INVEST PURCHASES|VP-STUDENT AFFAIRS
07070300|HO-59-I/S EARNINGS|VP-STUDENT AFFAIRS
07072100|HO-59 HOUSING SYSTEMS R/R|VP-STUDENT AFFAIRS
07072200|HO-59 R/R INVEST PURCHASES|VP-STUDENT AFFAIRS
07072300|HO-59 R/R EARNINGS|VP-STUDENT AFFAIRS
07079800|HO-59 SAMAS FID 330022|VP-STUDENT AFFAIRS
07079900|HO-59 SAMAS FID 330021|VP-STUDENT AFFAIRS
07090000|HO-MURPHREE AREA|VP-STUDENT AFFAIRS
07090100|HO-MURPHREE|VP-STUDENT AFFAIRS
07090200|HO-BUCKMAN|VP-STUDENT AFFAIRS
07090300|HO-SLEDD|VP-STUDENT AFFAIRS
07090400|HO-THOMAS|VP-STUDENT AFFAIRS
07090500|HO-FLETCHER|VP-STUDENT AFFAIRS
07100000|HO-LAKESIDE RESIDENTIAL CMPLEX|VP-STUDENT AFFAIRS
07100100|HO-LAKESIDE|VP-STUDENT AFFAIRS
07110000|HO-TOLBERT AREA|VP-STUDENT AFFAIRS
07110100|HO-TOLBERT|VP-STUDENT AFFAIRS
07110200|HO-NORTH HALL|VP-STUDENT AFFAIRS
07110300|HO-RIKER|VP-STUDENT AFFAIRS
07110400|HO-WEAVER|VP-STUDENT AFFAIRS
07110500|HO-EAST HALL|VP-STUDENT AFFAIRS
07200000|HO-YULEE  AREA|VP-STUDENT AFFAIRS
07200100|HO-YULEE|VP-STUDENT AFFAIRS
07200200|HO-MALLORY|VP-STUDENT AFFAIRS
07200300|HO-REID|VP-STUDENT AFFAIRS
07240000|HO-TOWERS / JENINGS AREA|VP-STUDENT AFFAIRS
07240100|HO-TOWERS|VP-STUDENT AFFAIRS
07240200|HO-JENNINGS|VP-STUDENT AFFAIRS
07290000|HO-BROWARD / RAWLINGS AREA|VP-STUDENT AFFAIRS
07290100|HO-BROWARD|VP-STUDENT AFFAIRS
07290200|HO-RAWLINGS|VP-STUDENT AFFAIRS
07390000|HO-GRAHAM / HUME AREA|VP-STUDENT AFFAIRS
07390100|HO-GRAHAM|VP-STUDENT AFFAIRS
07390200|HO-SIMPSON|VP-STUDENT AFFAIRS
07390300|HO-TRUSLER|VP-STUDENT AFFAIRS
07390400|HO-HUME|VP-STUDENT AFFAIRS
07500000|HO-VILLAGE HOUSING ADMIN|VP-STUDENT AFFAIRS
07520000|HO-DIAMOND VILLAGE|VP-STUDENT AFFAIRS
07530000|HO-CORRY VILLAGE|VP-STUDENT AFFAIRS
07550000|HO-MAGUIRE VILLAGE|VP-STUDENT AFFAIRS
07560000|HO-UNIVERSITY VILLAGE SOUTH|VP-STUDENT AFFAIRS
07570000|HO-TANGLEWOOD VILLAGE|VP-STUDENT AFFAIRS
07590000|HO-VILLAGE HOUSING PRO-RATED|VP-STUDENT AFFAIRS
07610000|HO-RENTAL PROBERTY|VP-STUDENT AFFAIRS
07700000|HO-MAINTENANCE / SUPPORT|VP-STUDENT AFFAIRS
07700100|HO-HOUSING OFFICE|VP-STUDENT AFFAIRS
07700200|HO-CABLE SHOP|VP-STUDENT AFFAIRS
07700300|HO-ELECTRICAL SHOP|VP-STUDENT AFFAIRS
07700400|HO-EMERGENCY MAINTENANCE|VP-STUDENT AFFAIRS
07700500|HO-FURNITURE SHOP|VP-STUDENT AFFAIRS
07700600|HO-LIBRARY|VP-STUDENT AFFAIRS
07700700|HO-POOLS|VP-STUDENT AFFAIRS
07700800|HO-REFRIGERATION|VP-STUDENT AFFAIRS
07700900|HO-SPECIAL PROJECTS|VP-STUDENT AFFAIRS
07701000|HO-STEAM|VP-STUDENT AFFAIRS
07701100|HO-SUPPLY|VP-STUDENT AFFAIRS
07701200|HO-SECURITY|VP-STUDENT AFFAIRS
07701300|HO-KEY SHOP|VP-STUDENT AFFAIRS
07710000|HO-FURNITURE SHOP EXPENSE|VP-STUDENT AFFAIRS
07790000|HO-FURNITURE SHOP INVENTORY|VP-STUDENT AFFAIRS
07810000|HO-DORMS/FAM HOUSING PRO-RATED|VP-STUDENT AFFAIRS
07820000|HO-ALL DORMS|VP-STUDENT AFFAIRS
07890000|HO-SUPPLY INVENTORY PURCHASES|VP-STUDENT AFFAIRS
07900000|HO-KEYS RESIDENTIAL COMPLEX|VP-STUDENT AFFAIRS
07900100|HO-KEYS|VP-STUDENT AFFAIRS
07950000|HO-SPRINGS RESIDENTIAL COMPLEX|VP-STUDENT AFFAIRS
07950100|HO-SPRINGS|VP-STUDENT AFFAIRS
08000000|STUDENT GOVERNMENT|VP-STUDENT AFFAIRS
08060000|SG-STUDENT GOVERNMENT-ADMIN|VP-STUDENT AFFAIRS
08060100|SG-ACCENT|VP-STUDENT AFFAIRS
08060200|SG-SG ADMIN|VP-STUDENT AFFAIRS
08060300|SG-NAKBA'48|VP-STUDENT AFFAIRS
08060400|SG-CAMPUS ACLU|VP-STUDENT AFFAIRS
08060500|SG-PRO-LIFE ALLIANCE|VP-STUDENT AFFAIRS
08060600|SG-BLACK STUDENT UNION|VP-STUDENT AFFAIRS
08060700|SG-GATOR GUARD DRILL TEAM|VP-STUDENT AFFAIRS
08060800|SG-CELEBRATION|VP-STUDENT AFFAIRS
08060900|SG-RED CROSS GATORS|VP-STUDENT AFFAIRS
08061000|SG-SPEECH / DEBATE|VP-STUDENT AFFAIRS
08061100|SG-CHI ALPHA|VP-STUDENT AFFAIRS
08061200|SG-EAG|VP-STUDENT AFFAIRS
08061300|SG-CAMPUS CRUSADE|VP-STUDENT AFFAIRS
08061400|SG-FLORIDA PLAYERS|VP-STUDENT AFFAIRS
08061500|SG-GATOR LOAN|VP-STUDENT AFFAIRS
08061600|SG-GATOR BAND|VP-STUDENT AFFAIRS
08061700|SG-INTER-RESIDENCE HALL|VP-STUDENT AFFAIRS
