dept_id|deptName
05010000|RU-GAME ROOM ADMINISTRATION
05020000|RU-BOWLING
05030000|RU-BILLIARDS
05040000|RU-MISCELLANEOUS GAMES
05050000|RU-GAMES PROGRAMMING
05060000|RU-GAMES MERCHANDISE SALES
05070000|RU-OUTFITTER
05080000|RU-TRIP
05090000|RU-PROGRAMS ADMINSTRATION
05100000|RU-GATOR NIGHTS
05110000|RU-ARTS / CRAFTS CENTER
05110100|RU-THE GALLERY
05110200|RU-LEISURE COURSES
05110300|RU-THE STUDIO
05120000|RU-OFFICE-STUDENT ACTIVITIES
05130000|RU-COPC
05140000|RU-OFFICE OF COMMUNITY SERVICE
05150000|RU-FLORIDA ALTERNATIVE BREAK
05160000|RU-BUSINESS OFFICE
05170000|RU-NASPA
05180000|RU-NETWORK SERVICES
05190000|RU-JWRU HOTEL
05200000|RU-BOX OFFICE ADMINISTRATION
05210000|RU-OVERHEAD
05220000|RU-LEADERSHAPE
05230000|RU-MARKETING / RETAIL ADMIN
05240000|RU-CONCESSIONS
05250000|RU-GENERAL ADMINISTRATION
05260000|RU-NIGHT / WEEKEND MANAGEMENT
05270000|RU-INFORMATION DESK
05280000|RU-HOUSEKEEPING
05290000|RU-SPECIAL SERVICES
05300000|RU-EVENT SERVICES
05310000|RU-PRODUCTIONS
05320000|RU-MAINTENANCE
05330000|RU-MAINTENANCE ADMINISTRATION
05340000|RU-GATOR GROWL/HOMECOMING
05340100|RU-GATOR GROWL/HOMECOMING A
05340200|RU-GATOR GROWL/HOMECOMING B
05350000|RU-WELCOME CENTER
05360000|RU-CAMPUS COPY FAX AND PACK
05370000|RU-AV SERVICES
05380000|RU-SETUPS
05400000|RU-EG-OSFA
05950000|RU-UBO OPERATIONS
05950100|RU-CPA SELF SPONSORED-A
05950200|RU-CPA RENTALS-A
05950300|RU-FLORIDA BLUE KEY
05950400|RU-PROGRAMS-ENTERTAINMENT
05950500|RU-CPA SELF SPONSORED-B
05950600|RU-CPA RENTAL-B
05950700|RU-TICKET MASTER
05950800|RU-THEATRE DEPARTMENT
05950900|RU-UNION MOVIES
05951000|RU-SALES TAX HOLDING
05951100|RU-HP CONSTANS FUND
05951200|RU-OCONNEL CENTER
05951300|RU-OCONNEL CENTER-RENTAL
05951400|RU-MISCELLANEOUS EVENTS
05951500|RU-HARD TICKETS
06000000|EM-STUDENT FINANCIAL AFFAIRS
06010000|EM-SFA ADMINISTRATION
06010001|EM-FED WORK STUDY SFA MATCHING
06020000|EM-SFA FINANCIAL AID AWARD
06030000|EM-FWS-COMMUNITY SERVICE
06030100|SF-COMM SERVICE-ALACHUA
06030101|SF-ALACHUA HABITAT HUMANITY
06030102|SF-UNITED WAY - ALACHUA COUNTY
06030103|SF-NCFL HLTH PLANNING COUNCIL
06030104|SF-BOYS / GIRLS CLUB
06030105|SF-NCFLORIDA YMCA
06030106|SF-ASSOC / RETARDED CITIZENS
06030107|SF-GIRLS CLUB - ALACHUA COUNTY
06030108|SF-MORNINGSIDE NATURE CENTER
06030109|SF-ACORN CLINIC
06030110|SF-VOLUNTEER CENTER
06030111|SF-NEIGHBORHOOD HOUSING SRVS
06030112|SF-REICKERT HOUSE
06030113|SF-GAINESVILLE REC / PARKS
06030114|SF-NATIONAL CTR - CONSTRUCT ED
06030115|SF-UNIVERSITY ATHLETIC ASSOC
06030116|SF-SHANDS HC- MEDICAL MGT
06030117|SF-FRIENDS - MICANOPY LIBRARY
06030118|SF-LIFESOUTH BLOOD CENTER
06030119|SF-CHILDRENS HOME SOCIETY
06030120|SF-SHANDS HC CORP COMPLIANCE
06030121|SF-SHANDS EASTSIDE COMM PRAC
06030122|SF-OAK HAMMOCK - UF
06030123|SF-SHANDS - AGH
06030124|SF-GAINESVILLE POLICE DEPT
06030125|SF-SHANDS HOSPITAL LEGAL SERVS
06030126|SF-CORNER DRUG STORE
06030127|SF-MATHESON HISTORICAL CENTER
06030128|SF-GAINESVILLE COMM MINISTRIES
06030129|SF-FOREST MANAGEMENT TRUST
06040000|EM-NRA SCHOLARSHIPS
07000000|DIVISION-HOUSING
07010000|HO-HOUSING-GENERAL
07020000|HO-DEPOSITS / MISC REVENUE
07020100|HO-SEC DEP-CORRY-UVS-DIAMOND
07020200|HO-SEC DEP-TANGLEWOOD
07020300|HO-SEC DEP-MAQUIRE
07020400|HO-UVM-VILLAGE HOUSING RENT
07020500|HO-UVM-UTILITY REVENUE
07020600|HO-UVM-MISCELLANEOUS REVENUE
07020700|HO-VILLAGE HOUSING APP FEE
07020800|HO-HOUSING UTILITY TAX
07021000|HO-SIGMA PHI EPSILON
07021100|HO-BETA THETA PI
07021200|HO-LAMBDA CHI ALPHA
07021300|HO-PI KAPPA ALPHA
07021400|HO-PI KAPPA PHI
07021500|HO-SIGMA NU
07030000|HO-CONCESSION EXP / REV
07030100|HO-IRHA VENDING
07030200|HO-HOUSING VENDING
07030300|HO-TRAINING ACCOUNT
07030400|HO-RESIDENCE LIFE / EDUCATION
07030500|HO-VILLAGE HOUSING VENDING
07030600|HO-MAYOR'S COUNCIL VENDING
07030700|HO-EAST CAMPUS
07030800|HO-WEST CAMPUS
07030900|HO-STUDENT LEARNING VENDING
07031000|HO-STAFF ADVISRY BOARD VENDING
07031100|HO-NAT RSDNCE HALL HON VENDING
07040000|HO-HOUSING REVENUE
07040100|HO-FURNITURE SHOP REVENUE
07040200|HO-RENTAL PROBERTY HOUSING REV
07040300|HO-RENTAL PROPERTY MISC REV
07040400|HO-74 SERIES INVESTMENT-PURCH
07040500|HO-74 SERIES INVESTMT-EARNINGS
07040600|HO-59 SERIES INVESTMENT-PURCH
07040700|HO-59 SERIES INVESTMNT-EARNNGS
07040800|HO-GENERAL INCOME
07040900|HO-VILLAGE HOUSING RENT
07041000|HO-CONFERENCE HOUSING REVENUE
07041100|HO-MISCELLANEOUS REVENUE
07041200|HO-UTILITY REVENUE
07041300|HO-PRIOR STUDENT RECEIVABLES
07041400|HO-EX KWH CHARGES-FALL
07041500|HO-EX KWH CHARGES-SPRING
07041600|HO-EX KWH CHARGES-SUMMER A
07041700|HO-EX KWH CHARGES-SUMMER B
07041800|HO-HOUSING APPLICATIONS FEES
07041900|HO-DIAMOND RENT
07042000|HO-RESIDENCE HALL RENT-FALL
07042100|HO-RESIDENCE HALL RENT-SPRING
07042200|HO-RESIDENCE HALL RENT-SUM A
07042300|HO-RESIDENCE HALL RENT-SUM B
07042400|HO-74 SERS IMPRO / REPLA ACCT
07042500|HO-TANGLEWOOD APTS RENT
07050000|HO-RES HALL RENT COLLECTIONS
07050100|HO-RH RENT COLL-FALL-YR 1
07050200|HO-RH RENT COLL-SPRING-YR 1
07050300|HO-RH RENT COLL-SUM A-YR 1
07050400|HO-RH RENT COLL-SUM B-YR 1
07050500|HO-RH RENT COLL-FALL-YR 2
07050600|HO-RH RENT COLL-SPRING-YR 2
07050700|HO-RH RENT COLL-SUM A-YR 2
07050800|HO-RH RENT COLL-SUM B-YR 2
07050900|HO-RH RENT COLL-FALL-YR 3
07051000|HO-RH RENT COLL-SPRING-YR 3
07051100|HO-RH RENT COLL-SUM A-YR 3
07051200|HO-RH RENT COLL-SUM B-YR 3
07051300|HO-RH RENT COLL-SUM C-YR 1
07051400|HO-RH RENT COLL-SUM C-YR 2
07051500|HO-RH RENT COLL-SUM C-YR 3
07051600|HO-YOUTH CONF SERVICES REV
07051700|HO-INFINITY HALL
07070000|HO-INT / SINK-REPAIR / REPLACE
07070100|HO-59 HOUSING SYSTEM I/S
07070200|HO-59-I/S INVEST PURCHASES
07070300|HO-59-I/S EARNINGS
07072100|HO-59 HOUSING SYSTEMS R/R
07072200|HO-59 R/R INVEST PURCHASES
07072300|HO-59 R/R EARNINGS
07079800|HO-59 SAMAS FID 330022
07079900|HO-59 SAMAS FID 330021
07090000|HO-MURPHREE AREA
07090100|HO-MURPHREE
07090200|HO-BUCKMAN
07090300|HO-SLEDD
07090400|HO-THOMAS
07090500|HO-FLETCHER
07100000|HO-LAKESIDE RESIDENTIAL CMPLEX
07100100|HO-LAKESIDE
07110000|HO-TOLBERT AREA
07110100|HO-TOLBERT
07110200|HO-NORTH HALL
07110300|HO-RIKER
07110400|HO-WEAVER
07110500|HO-EAST HALL
07200000|HO-YULEE  AREA
07200100|HO-YULEE
07200200|HO-MALLORY
07200300|HO-REID
07240000|HO-TOWERS / JENINGS AREA
07240100|HO-TOWERS
07240200|HO-JENNINGS
07290000|HO-BROWARD / RAWLINGS AREA
07290100|HO-BROWARD
07290200|HO-RAWLINGS
07390000|HO-GRAHAM / HUME AREA
07390100|HO-GRAHAM
07390200|HO-SIMPSON
07390300|HO-TRUSLER
07390400|HO-HUME
07500000|HO-VILLAGE HOUSING ADMIN
07520000|HO-DIAMOND VILLAGE
07530000|HO-CORRY VILLAGE
07550000|HO-MAGUIRE VILLAGE
07560000|HO-UNIVERSITY VILLAGE SOUTH
07570000|HO-TANGLEWOOD VILLAGE
07590000|HO-VILLAGE HOUSING PRO-RATED
07610000|HO-RENTAL PROBERTY
07700000|HO-MAINTENANCE / SUPPORT
07700100|HO-HOUSING OFFICE
07700200|HO-CABLE SHOP
07700300|HO-ELECTRICAL SHOP
07700400|HO-EMERGENCY MAINTENANCE
07700500|HO-FURNITURE SHOP
07700600|HO-LIBRARY
07700700|HO-POOLS
07700800|HO-REFRIGERATION
07700900|HO-SPECIAL PROJECTS
07701000|HO-STEAM
07701100|HO-SUPPLY
07701200|HO-SECURITY
07701300|HO-KEY SHOP
07710000|HO-FURNITURE SHOP EXPENSE
07790000|HO-FURNITURE SHOP INVENTORY
07810000|HO-DORMS/FAM HOUSING PRO-RATED
07820000|HO-ALL DORMS
07890000|HO-SUPPLY INVENTORY PURCHASES
07900000|HO-KEYS RESIDENTIAL COMPLEX
07900100|HO-KEYS
07950000|HO-SPRINGS RESIDENTIAL COMPLEX
07950100|HO-SPRINGS
08000000|STUDENT GOVERNMENT
08060000|SG-STUDENT GOVERNMENT-ADMIN
08060100|SG-ACCENT
08060200|SG-SG ADMIN
08060300|SG-NAKBA'48
08060400|SG-CAMPUS ACLU
08060500|SG-PRO-LIFE ALLIANCE
08060600|SG-BLACK STUDENT UNION
08060700|SG-GATOR GUARD DRILL TEAM
08060800|SG-CELEBRATION
08060900|SG-RED CROSS GATORS
08061000|SG-SPEECH / DEBATE
08061100|SG-CHI ALPHA
08061200|SG-EAG
08061300|SG-CAMPUS CRUSADE
08061400|SG-FLORIDA PLAYERS
08061500|SG-GATOR LOAN
08061600|SG-GATOR BAND
08061700|SG-INTER-RESIDENCE HALL
08061800|SG-INTRAMURALS
08061900|SG-JEWISH STUDENT UNION
08062000|SG-STUDENT LEGAL SERVICES
08062100|SG-GAY / LESBIAN STUDENT UNION
08062200|SG-SPECIAL PROJECT #8
08062300|SG-MAYOR'S COUNCIL
08062400|SG-GRAD EVANGELIC FELLOWSHIP
08062500|SG-FCA
08062600|SG-SG OPS
08062700|SG-SGP
08062800|SG-BEST BUDDIES
08062900|SG-BAHA'I ASSOCIATION
08063000|SG-BHAKTI YOGA CLUB
08063100|SG-GRADUATE STUDENT COUNCIL
08063200|SG-BLACK GRAD STUDENT COUNCIL
08063300|SG-TOWER YEARBOOK
08063400|SG-UNI SYMPHONY ORCHESTRA
08063500|SG-KALEIDOSCOPE
08063600|SG-AAA
08063700|SG-PSU
08063800|SG-DANZA
08063900|SG-AMATEUR RADIO
08064000|SG-FL SWING DANCE CLUB
08064100|SG-SPECIAL REQUEST
08064200|SG-WOMANS STUDIES ASSOCIATION
08064300|SG-FT LAUDERDALE COUNCIL
08064400|SG-TRAFFIC COURT
08064500|SG-FRIENDS FOR LIFE
08064600|SG-UEPA
08064700|SG-COLLEGE DEMOCRATS
08064800|SG-BLACK HISTORY MONTH
08064900|SG-SAFE RIDE PROGRAMS
08065000|SG-A/S FEES
08065100|SG-SG RESERVES
08065200|SG-HORIZONS
08065300|SG-SG PHONES
08065400|SG-SPORTS CLUB COUNCIL
08065500|SG-NATIVE AMERICAN
08065600|SG-VISA
08065700|SG-IRHA 2
08065800|SG-UF AMNESTY
08065900|SG-GIRL SCOUTS
08066000|SG-JAM
08066100|SG-COMPUTER NETWORK
08066200|SG-FALLING GATORS
08066300|SG-ATHEIST / AGNOSTICS
08066400|SG-HIP HOP COLLECTIVE
08066500|SG-EFAIR
08066600|SG-OBJECTIVIST CLUB
08066700|SG-PHI THETA KAPPA
08066800|SG-PACIFIC BRIDGE
08066900|SG-UF NROTC
08067000|SG-HISPANIC STUDENT ASSOC
08067100|SG-GOSPEL CHOIR
08067200|SG-INTERNATIONAL MONTH
08067300|SG-BAPTIST COLLEGIATE MINISTRY
08067400|SG-PRIDE AWARENESS MONTH
08067500|SG-ISLAM ON CAMPUS
08067600|SG-BM DRILL TEAM
08067700|SG-CIRCLE K
08067800|SG-ISLAM AWARENESS MONTH
08067900|SG-CARIBBEAN STUDENT ASSOC
08068000|SG-HISPANIC HERITAGE MONTH
08068100|SG-MODEL UN
08068200|SG-DOMINICAN STUDENT ASSOC
08068300|SG-HINDU STUDENT UNION
08068400|SG-INTERVARSITY CHRISTIAN
08068500|SG-STUDENTS WITH DISABILITIES
08068600|SG-ARNOLD AIR SOCIETY
08068700|SG-GATOR GREENS
08068800|SG-HABITAT FOR HUMANITY
08068900|SG-SCIENCE OF SELF CLUB
08069000|SG-HISP ASSOC BI-LINGUAL
08069100|SG-BLK COLLEGTE CHRIST FELLOW
08069200|SG-MENNONITE STUDENT GROUP
08069300|SG-NORML
08069400|SG-ASIAN STUDENT UNION
08069500|SG-COPTIC CHRISTIAN STU ASSOC.
08069600|SG-BUDDHIST ASSOCIATION
08069700|SG-RECURSO
08069800|SG-MUSIC ENSEMBLES
08069900|SG-VOX
08070000|SG-SG ACADEMIC ORGANIZATIONS
08070100|SG-FINE ARTS CC
08070200|SG-BOCC
08070300|SG-ACCOUNTING CC
08070400|SG-AGRICULTURE CC
08070500|SG-ARCHITECTURE CC
08070600|SG-BUSINESS ADMINISTRATION CC
08070700|SG-BUILDING CONSTRUCTION CC
08070800|SG-EDUCATION CC
08070900|SG-BENTON ENGINEERING CC
08071000|SG-SPEECH / DEBATE
08071100|SG-FORESTRY CC
08071200|SG-HEALTH PROFESSIONS CC
08071300|SG-JOURNALISM CC
08071400|SG-CLASS C
08071500|SG-NURSING COLLEGE COUNCIL
08071600|SG-HEALTH / HUMAN PERF CC
08071700|SG-PHARMACY CC
08071800|SG-DENTISTRY CC
08071900|SG-LAW CC
08072000|SG-MEDICAL CC
08072100|SG-VETERINARY MEDICINE CC
08072200|SG-HEAL
08072400|SG-NATURAL RESOURCES ENVIRON
08072500|SG-SPEC PROJ / UF OBSERVER
09000000|VP-GOVERNMENTAL RELATIONS
09010000|GV-VICE PRESIDENT-OFFICE
10000000|UR-VP-UNIVERSITY RELATIONS
10010000|UR-OFFICE-UNIVERSITY RELATIONS
10020000|UR-NEWS / PUBLIC AFFAIRS
11000000|RESEARCH / SPONSORED PROGRAMS
11010000|SR-VP FOR RESEARCH
11010100|SR-RES/ECON DEV INVEST PRGM
11020000|SR-ASSOCIATE VP FOR RESEARCH
11030000|SR-PERSONNEL SERVICES
11040000|SR-BUSINESS OFFICE
11050000|SR-COMPUTING SERVICES DSR
11060000|SR-DIRECTOR SPONS. RESEARCH
11060100|SR-AWARDS ADMINISTRATION
11060200|SR-PROPOSAL PROCESSING
11070000|SR-PROGRAM INFORMATION
11080000|SR-PUBLICATION SERVICES
11090000|SR-TECHNOLOGY LICENSING
11100000|SR-DSR GENERAL
11200000|SR-IACUC
11210000|SR-IRB-01 HEALTH CENTER
11220000|SR-IRB-02 CAMPUS
11230000|SR-INFORMATICS INSTITUTE
11240000|SR-INTERDISCIPLINARY PROGRAM D
11250000|SR-FLORIDA INNOVATION HUB
11260000|SR-COMMERCIALIZATION/PUB RES
11270000|SR-BIOSTATISTICS
11280000|SR-MAIC
11290000|SR-CENTER-SMELL / TASTE
11300000|SR-CERHB ADMINSTRATION
11300100|SR-BPS BIOPHARM PRODUCTION SVC
11300200|SR-RE RESEARCH AND EDUCATION
11300300|SR-SPACE LICENSE AUXILIARY
11400000|SR-BIOTECH DEVEL INCUBATOR
11600000|SR-BIOTECHNOLOGY
11600100|SR-ICBR
11600101|SR-ICBR-BC
11600102|SR-ICBR-DNASEQ
11600103|SR-ICBR-ED
11600104|SR-ICBR-EM
11600105|SR-ICBR-FC
11600106|SR-ICBR-HY
11600107|SR-ICBR-MS
11600108|SR-ICBR-MSGA
11600109|SR-ICBR-PC
11600110|SR-ICBR-PCMB
11600200|SR-BIOTECH RES / DEVELOP INST
11600300|SR-CERHB
11700000|SR-WATER INSTITUTE
11800000|SR-ANIMAL CARE SERVICES
11800100|SR-ACS REV/EXP
11800200|SR-ACS ANIMAL PURCHASES
11900000|SR-EMERGING PATHOGENS
12000000|GRADUATE SCHOOL
12010000|GR-GRAD SCHOOL OPERATIONS
12010100|GR-GRAD SCHOOL ADMINISTRATION
12010200|GR-DATA MANAGEMENT
12010300|GR-EDITORIAL OFFICE
12010400|GR-GRAD STUDENT RECORDS
12010500|GR-UF CHILE CENTER
12010600|GR-EXTERNAL SUPPORT
12020000|GR-GRAD MINORITY PROGRAMS
12020100|GR-MCKNIGHT FELLOWSHIP
12020200|GR-FAMU FEEDER FELLOWSHIP
12020300|GR-MCNAIR ASSISTANTSHIP
12020400|GR-SANTA FE ASSISTANTSHIP
12020500|GR-BOE SUMMER PROGRAM
12020600|GR-GEM FELLOWSHIP
12020700|GR-SBE ALLIANCE UNDERGRADUATE
12020800|GR-DOCTORAL DISSERTATION AWARD
12020900|GR-GS DIVERSITY ENHNCEMT AWRDS
12021000|GR-GS SUPPORT
12021100|GR-GS DISSERTATION TRAVEL
12021200|GR-OGMP PROF TRAVEL SUPPORT
12021300|GR-GS TOP UPS EXTERNAL AWARDS
12021400|GR-SUPPLEMENTAL SUPPORT
12030000|GR-COMPUTING SERVICES GS
12040000|GR-ACADEMIC SPOKEN ENGLISH
12040100|GR-ACADEMIC WRITTEN ENGLISH
12050000|GR-OFC GRADUATE INTL OUTREACH
12060000|GR-OFC PROFESSIONAL DEVELOPMNT
13000000|COLLEGE OF THE ARTS
13010000|COTA-DEAN'S OFFICE
13010100|COTA-DEAN'S OFFICE-GEN ADMIN
13010101|COTA-ADMIN SUPPLEMENTS
13010102|COTA-AWARD MATCHING
13010103|COTA-COMMENCEMENT
13010104|COTA-DEAN DISCRETIONARY
13010105|COTA-DEAN TRAVEL
13010106|COTA-FACULTY COUNCIL
13010107|COTA-MARKETING
13010108|COTA-MEETINGS
13010109|COTA-PUBLICITY
13010110|COTA-SEARCHES
13010111|COTA-SPECIAL EVENTS
13010112|COTA-SUMMER SPECIALS
13010113|COTA-FACULTY RESEARCH
13010200|COTA-DEAN-TECHNOLOGY
13010300|COTA-CENTER FOR WORLD ARTS
13010400|COTA-CENTER FOR AIM
13010500|COTA-CAPP-CTR ARTS/PUBLIC POLI
13010600|COTA-UNDERGRADUATE PROGRAMS
13010601|COTA-UNDERGRADUATE-DIRECTOR
13010602|COTA-UNDERGRAD-DOCE OFF BOOKS
13010610|COTA-GOODLIFE
13010700|COTA-GRADUATE PROGRAMS
13010701|COTA-DEAN GRAD PRG
13010702|COTA-ART GRAD PRG
13010703|COTA-MUSIC GRAD PRG
13010704|COTA-THEATRE/DANCE GRAD PRG
13010800|COTA-VISUAL RESOURCES CTR
13020000|COTA-ART
13020100|COTA-ART-DIRECTOR
13020200|COTA-UNIVERSITY GALLERY
13020300|COTA-VIS/DIGITAL RESOURCE CTR
13030000|COTA-MUSIC
13030100|COTA-MUSIC-DIRECTOR
13030101|COTA-SOM/UFPA EXPENSES
13030200|COTA-BANDS
13040000|COTA-THEATRE
13040100|COTA-THEATRE-CHAIR
13040200|COTA-THEATRE-PRODUCTION
13040300|COTA-DANCE
13050000|DW-DIGITAL WORLD
13050100|DW-DIRECTOR'S OFFICE
13050200|DW-FACILITY OPERATIONS
13050300|DW-OTRI
13100000|COTA-NEW WORLD-ARTS
13100100|COTA-NEW WORLD-DEANS OFFICE
13100200|COTA-NEW WORLD-VISUAL ARTS
13100300|COTA-NEW WORLD-MUSIC
13100400|COTA-NEW WORLD-THEATRE
13100500|COTA-NEW WORLD-DANCE
13500000|PC-PHILLIPS CENTER
13500100|PC-DIRECTOR'S OFFICE
13500200|PC-ADMINISTRATIVE
13500300|PC-SPONSORED EVENTS
13500400|PC-MARKETING
13500500|PC-RENTAL EVENTS
13500600|PC-GENERAL OPERATIONS
13500700|PC-SPECIAL EVENTS
13500800|PC-FACILITY OPERATIONS
13510000|BC-BAUGHMAN CENTER
13520000|UA-UNIVERSITY AUDITORIUM
14000000|INFORMATION TECHNOLOGY
14010000|IT-CHIEF INFORMATION OFFICER
14010100|IT-CHIEF INFO OFFICER-ADMIN
14010200|IT-CIO STRATEGIC FUND
14020000|IT-BUSINESS CENTER
14100000|IT-WEB ADMINISTRATION
14100100|IT-WEB ADMIN OFFICE
14200000|IT-AT ACADEMIC TECHNOLOGY
14200100|IT-AT ADMINISTRATION
14200200|IT-AT INSTRUCTIONAL COMP SVCS
14200300|IT-AT UF COMPUTING HELP DSK
14200350|IT-AT UF HELP DESK CUST SVC
14200400|IT-AT CHARGE SERVICES
14200500|IT-AT CITT
14200600|IT-AT SOFTWARE LICENSING SVCS
14200700|IT-AT VIDEO COLLABORATIVE SVCS
14200800|IT-AT LEARNING SPACES SUPPORT
14200820|IT-AT LEARNING SPACES VDI SUPP
14200850|IT-AT LEARNING SPACES CUST SVC
14200900|IT-AT FORMS SCANNING SERVICES
14201000|IT-AT LEARNING SUPPORT SVCS
14220000|IT-AT-CIRCA
14220100|IT-AT CIRCA ADMINISTRATION
14220200|IT-AT INSTRUCTIONAL COMP SVCS
14220201|IT-AT INSTRUCT COMP SVCS ADM
14220202|IT-AT INSTRUCT COMP SVCS LAB
14220203|IT-AT INSTRUCT COMP SVCS SYS
14220204|IT-AT INSTRUCT COMP SVCS SUP
14220205|IT-AT INSTRUCT COMP SVCS PRINT
14220300|IT-AT UF COMPUTING HELP DSK
14220301|IT-AT UF COMP HELP DSK ADM
14220302|IT-AT UF COMP HELP DSK ASC
14220303|IT-AT UF COMP HELP DSK LSS
14220304|IT-ATUF COMP HLP DSK TRAINING
14220400|IT-AT CIRCA OPERATIONS
